数据集总长度：1115394
Before CTE Training: train eu loss: 1.0466995239257812, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.642578125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.030153, train_cro_loss : 4.2759, train_tot_loss : 0.0308, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.1882, accuracy: 0.0391
epoch   1 summary: train_cos_loss : 0.027850, train_cro_loss : 4.1815, train_tot_loss : 0.0285, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.0850, accuracy: 0.0859
epoch   2 summary: train_cos_loss : 0.026628, train_cro_loss : 4.0782, train_tot_loss : 0.0272, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.9767, accuracy: 0.1309
epoch   3 summary: train_cos_loss : 0.027582, train_cro_loss : 3.9709, train_tot_loss : 0.0282, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.8842, accuracy: 0.1680
epoch   4 summary: train_cos_loss : 0.027084, train_cro_loss : 3.8778, train_tot_loss : 0.0277, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.7809, accuracy: 0.2090
epoch   5 summary: train_cos_loss : 0.025421, train_cro_loss : 3.7752, train_tot_loss : 0.0260, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.6944, accuracy: 0.2480
epoch   6 summary: train_cos_loss : 0.029190, train_cro_loss : 3.6899, train_tot_loss : 0.0297, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.6293, accuracy: 0.2754
epoch   7 summary: train_cos_loss : 0.030737, train_cro_loss : 3.6247, train_tot_loss : 0.0313, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.5614, accuracy: 0.2988
epoch   8 summary: train_cos_loss : 0.026831, train_cro_loss : 3.5555, train_tot_loss : 0.0274, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.4674, accuracy: 0.3359
epoch   9 summary: train_cos_loss : 0.024231, train_cro_loss : 3.4636, train_tot_loss : 0.0247, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.4158, accuracy: 0.3652
epoch  10 summary: train_cos_loss : 0.026383, train_cro_loss : 3.4130, train_tot_loss : 0.0269, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.3714, accuracy: 0.3926
epoch  11 summary: train_cos_loss : 0.023719, train_cro_loss : 3.3676, train_tot_loss : 0.0242, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.3170, accuracy: 0.4062
epoch  12 summary: train_cos_loss : 0.023973, train_cro_loss : 3.3146, train_tot_loss : 0.0245, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2991, accuracy: 0.3887
epoch  13 summary: train_cos_loss : 0.027418, train_cro_loss : 3.2959, train_tot_loss : 0.0279, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2677, accuracy: 0.4082
epoch  14 summary: train_cos_loss : 0.025355, train_cro_loss : 3.2659, train_tot_loss : 0.0258, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2481, accuracy: 0.4004
epoch  15 summary: train_cos_loss : 0.023351, train_cro_loss : 3.2452, train_tot_loss : 0.0238, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2043, accuracy: 0.4316
epoch  16 summary: train_cos_loss : 0.021500, train_cro_loss : 3.2028, train_tot_loss : 0.0220, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.1780, accuracy: 0.4395
epoch  17 summary: train_cos_loss : 0.020994, train_cro_loss : 3.1754, train_tot_loss : 0.0215, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.1457, accuracy: 0.4473
epoch  18 summary: train_cos_loss : 0.023051, train_cro_loss : 3.1437, train_tot_loss : 0.0235, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0997, accuracy: 0.4512
epoch  19 summary: train_cos_loss : 0.020793, train_cro_loss : 3.0974, train_tot_loss : 0.0213, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0717, accuracy: 0.4629
epoch  20 summary: train_cos_loss : 0.020372, train_cro_loss : 3.0701, train_tot_loss : 0.0208, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0475, accuracy: 0.4570
epoch  21 summary: train_cos_loss : 0.017878, train_cro_loss : 3.0449, train_tot_loss : 0.0183, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0091, accuracy: 0.4727
epoch  22 summary: train_cos_loss : 0.019122, train_cro_loss : 3.0077, train_tot_loss : 0.0196, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0036, accuracy: 0.4824
epoch  23 summary: train_cos_loss : 0.020176, train_cro_loss : 3.0015, train_tot_loss : 0.0206, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.9938, accuracy: 0.4844
