数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.026794, train_cro_loss : 4.0688, train_tot_loss : 0.0274, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.9617, accuracy: 0.1880
epoch   1 summary: train_cos_loss : 0.024917, train_cro_loss : 3.7384, train_tot_loss : 0.0255, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2743, accuracy: 0.3254
epoch   2 summary: train_cos_loss : 0.022613, train_cro_loss : 3.5350, train_tot_loss : 0.0231, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0248, accuracy: 0.3813
epoch   3 summary: train_cos_loss : 0.019141, train_cro_loss : 3.5803, train_tot_loss : 0.0197, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.8897, accuracy: 0.4099
epoch   4 summary: train_cos_loss : 0.015901, train_cro_loss : 3.5386, train_tot_loss : 0.0164, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.8031, accuracy: 0.4307
epoch   5 summary: train_cos_loss : 0.013292, train_cro_loss : 3.4809, train_tot_loss : 0.0138, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.7074, accuracy: 0.4490
epoch   6 summary: train_cos_loss : 0.012454, train_cro_loss : 3.4426, train_tot_loss : 0.0130, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6691, accuracy: 0.4626
epoch   7 summary: train_cos_loss : 0.010780, train_cro_loss : 3.4161, train_tot_loss : 0.0113, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6432, accuracy: 0.4753
epoch   8 summary: train_cos_loss : 0.010161, train_cro_loss : 3.3718, train_tot_loss : 0.0107, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.5934, accuracy: 0.4883
epoch   9 summary: train_cos_loss : 0.010033, train_cro_loss : 3.3455, train_tot_loss : 0.0105, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6434, accuracy: 0.4805
epoch  10 summary: train_cos_loss : 0.009805, train_cro_loss : 3.3753, train_tot_loss : 0.0103, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6965, accuracy: 0.4741
