Before CTE Training: train eu loss: 1.057024359703064, eval eu loss: 1.4517745971679688
Before CTE Training: train eu acc: 0.66552734375, eval eu acc: 0.5794677734375
epoch   0 summary: dyn_dyn_cos_loss: 0.02367, dyn_sta_cos_loss: 0.00709, total_cos_loss : 0.00709, vocab_cro_loss : 4.41367, 
train loss: 3.4519, train acc: 0.2749
Warning: failed to save checkpoint at epoch 0: name 'train_new_save_path' is not defined
epoch   1 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 3.45148, 
Warning: failed to save checkpoint at epoch 1: name 'train_new_save_path' is not defined
epoch   2 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 3.25710, 
Warning: failed to save checkpoint at epoch 2: name 'train_new_save_path' is not defined
epoch   3 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 3.07253, 
Warning: failed to save checkpoint at epoch 3: name 'train_new_save_path' is not defined
epoch   4 summary: dyn_dyn_cos_loss: 0.02211, dyn_sta_cos_loss: 0.00574, total_cos_loss : 0.00574, vocab_cro_loss : 2.96358, 
Warning: failed to save checkpoint at epoch 4: name 'train_new_save_path' is not defined
epoch   5 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.28607, 
Warning: failed to save checkpoint at epoch 5: name 'train_new_save_path' is not defined
epoch   6 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.24775, 
Warning: failed to save checkpoint at epoch 6: name 'train_new_save_path' is not defined
epoch   7 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.22358, 
Warning: failed to save checkpoint at epoch 7: name 'train_new_save_path' is not defined
epoch   8 summary: dyn_dyn_cos_loss: 0.01886, dyn_sta_cos_loss: 0.00426, total_cos_loss : 0.00426, vocab_cro_loss : 2.20325, 
Warning: failed to save checkpoint at epoch 8: name 'train_new_save_path' is not defined
epoch   9 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.87391, 
Warning: failed to save checkpoint at epoch 9: name 'train_new_save_path' is not defined
epoch  10 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.85497, 
train loss: 1.8368, train acc: 0.5537
Warning: failed to save checkpoint at epoch 10: name 'train_new_save_path' is not defined
