数据集总长度：1115394
Before CTE Training: train eu loss: 1.1252415180206299, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.6404571533203125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.027336, train_cro_loss : 4.2791, train_tot_loss : 0.0280, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.1692, accuracy: 0.0471
epoch   1 summary: train_cos_loss : 0.027055, train_cro_loss : 4.1615, train_tot_loss : 0.0277, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.0479, accuracy: 0.0914
epoch   2 summary: train_cos_loss : 0.027078, train_cro_loss : 4.0400, train_tot_loss : 0.0277, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.9231, accuracy: 0.1429
epoch   3 summary: train_cos_loss : 0.026807, train_cro_loss : 3.9151, train_tot_loss : 0.0274, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.7993, accuracy: 0.1967
epoch   4 summary: train_cos_loss : 0.026431, train_cro_loss : 3.7912, train_tot_loss : 0.0270, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.6821, accuracy: 0.2449
epoch   5 summary: train_cos_loss : 0.025974, train_cro_loss : 3.6737, train_tot_loss : 0.0265, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.5515, accuracy: 0.3018
epoch   6 summary: train_cos_loss : 0.026028, train_cro_loss : 3.5432, train_tot_loss : 0.0266, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.4297, accuracy: 0.3515
epoch   7 summary: train_cos_loss : 0.025797, train_cro_loss : 3.4214, train_tot_loss : 0.0263, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.3105, accuracy: 0.3973
epoch   8 summary: train_cos_loss : 0.025612, train_cro_loss : 3.3024, train_tot_loss : 0.0261, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2149, accuracy: 0.4319
epoch   9 summary: train_cos_loss : 0.025384, train_cro_loss : 3.2073, train_tot_loss : 0.0259, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0971, accuracy: 0.4699
epoch  10 summary: train_cos_loss : 0.025267, train_cro_loss : 3.0900, train_tot_loss : 0.0257, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.0276, accuracy: 0.4914
epoch  11 summary: train_cos_loss : 0.025010, train_cro_loss : 3.0208, train_tot_loss : 0.0255, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.9241, accuracy: 0.5208
epoch  12 summary: train_cos_loss : 0.024800, train_cro_loss : 2.9177, train_tot_loss : 0.0252, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.8355, accuracy: 0.5410
epoch  13 summary: train_cos_loss : 0.024640, train_cro_loss : 2.8296, train_tot_loss : 0.0251, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.7575, accuracy: 0.5564
epoch  14 summary: train_cos_loss : 0.024475, train_cro_loss : 2.7519, train_tot_loss : 0.0249, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6979, accuracy: 0.5686
epoch  15 summary: train_cos_loss : 0.024257, train_cro_loss : 2.6927, train_tot_loss : 0.0247, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6265, accuracy: 0.5795
epoch  16 summary: train_cos_loss : 0.023855, train_cro_loss : 2.6217, train_tot_loss : 0.0242, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.5591, accuracy: 0.5876
epoch  17 summary: train_cos_loss : 0.023884, train_cro_loss : 2.5548, train_tot_loss : 0.0243, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.5070, accuracy: 0.5928
epoch  18 summary: train_cos_loss : 0.023696, train_cro_loss : 2.5031, train_tot_loss : 0.0241, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4504, accuracy: 0.5964
epoch  19 summary: train_cos_loss : 0.023210, train_cro_loss : 2.4468, train_tot_loss : 0.0236, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3965, accuracy: 0.5992
epoch  20 summary: train_cos_loss : 0.023030, train_cro_loss : 2.3933, train_tot_loss : 0.0234, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3641, accuracy: 0.5958
epoch  21 summary: train_cos_loss : 0.022773, train_cro_loss : 2.3613, train_tot_loss : 0.0231, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3390, accuracy: 0.5923
epoch  22 summary: train_cos_loss : 0.022239, train_cro_loss : 2.3364, train_tot_loss : 0.0226, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3069, accuracy: 0.5895
epoch  23 summary: train_cos_loss : 0.021763, train_cro_loss : 2.3046, train_tot_loss : 0.0221, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2736, accuracy: 0.5871
epoch  24 summary: train_cos_loss : 0.021676, train_cro_loss : 2.2716, train_tot_loss : 0.0220, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2484, accuracy: 0.5824
epoch  25 summary: train_cos_loss : 0.021305, train_cro_loss : 2.2467, train_tot_loss : 0.0216, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2273, accuracy: 0.5772
epoch  26 summary: train_cos_loss : 0.020794, train_cro_loss : 2.2257, train_tot_loss : 0.0211, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2056, accuracy: 0.5713
epoch  27 summary: train_cos_loss : 0.020361, train_cro_loss : 2.2043, train_tot_loss : 0.0207, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1963, accuracy: 0.5645
epoch  28 summary: train_cos_loss : 0.019883, train_cro_loss : 2.1952, train_tot_loss : 0.0202, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1944, accuracy: 0.5522
epoch  29 summary: train_cos_loss : 0.019631, train_cro_loss : 2.1934, train_tot_loss : 0.0200, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1850, accuracy: 0.5462
epoch  30 summary: train_cos_loss : 0.018977, train_cro_loss : 2.1843, train_tot_loss : 0.0193, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1753, accuracy: 0.5395
epoch  31 summary: train_cos_loss : 0.018800, train_cro_loss : 2.1747, train_tot_loss : 0.0191, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1687, accuracy: 0.5338
