数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.4524140357971191
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.5721435546875
epoch   0 summary: train_cos_loss : 0.028016, train_cro_loss : 4.1715, train_tot_loss : 0.0286, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 4.1113, accuracy: 0.0789
epoch   1 summary: train_cos_loss : 0.027458, train_cro_loss : 4.1551, train_tot_loss : 0.0281, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.9375, accuracy: 0.1470
epoch   2 summary: train_cos_loss : 0.027701, train_cro_loss : 4.1388, train_tot_loss : 0.0283, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.7563, accuracy: 0.2107
epoch   3 summary: train_cos_loss : 0.027014, train_cro_loss : 4.1219, train_tot_loss : 0.0276, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.5879, accuracy: 0.2773
epoch   4 summary: train_cos_loss : 0.026347, train_cro_loss : 4.1060, train_tot_loss : 0.0270, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.4243, accuracy: 0.3425
epoch   5 summary: train_cos_loss : 0.026523, train_cro_loss : 4.0905, train_tot_loss : 0.0271, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.2772, accuracy: 0.3997
epoch   6 summary: train_cos_loss : 0.025849, train_cro_loss : 4.0760, train_tot_loss : 0.0265, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 3.1353, accuracy: 0.4424
epoch   7 summary: train_cos_loss : 0.025282, train_cro_loss : 4.0606, train_tot_loss : 0.0259, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.9669, accuracy: 0.4875
epoch   8 summary: train_cos_loss : 0.024799, train_cro_loss : 4.0430, train_tot_loss : 0.0254, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.8258, accuracy: 0.5305
epoch   9 summary: train_cos_loss : 0.024706, train_cro_loss : 4.0280, train_tot_loss : 0.0253, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.7245, accuracy: 0.5503
epoch  10 summary: train_cos_loss : 0.024227, train_cro_loss : 4.0154, train_tot_loss : 0.0248, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.6046, accuracy: 0.5715
epoch  11 summary: train_cos_loss : 0.024878, train_cro_loss : 4.0010, train_tot_loss : 0.0255, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.5000, accuracy: 0.5881
epoch  12 summary: train_cos_loss : 0.023795, train_cro_loss : 3.9879, train_tot_loss : 0.0244, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.4250, accuracy: 0.5940
epoch  13 summary: train_cos_loss : 0.022977, train_cro_loss : 3.9773, train_tot_loss : 0.0236, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3689, accuracy: 0.5894
epoch  14 summary: train_cos_loss : 0.022511, train_cro_loss : 3.9675, train_tot_loss : 0.0231, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.3076, accuracy: 0.5955
epoch  15 summary: train_cos_loss : 0.022056, train_cro_loss : 3.9563, train_tot_loss : 0.0226, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2597, accuracy: 0.6001
epoch  16 summary: train_cos_loss : 0.022525, train_cro_loss : 3.9486, train_tot_loss : 0.0231, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.2119, accuracy: 0.5920
epoch  17 summary: train_cos_loss : 0.020772, train_cro_loss : 3.9383, train_tot_loss : 0.0214, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1706, accuracy: 0.5886
epoch  18 summary: train_cos_loss : 0.019822, train_cro_loss : 3.9286, train_tot_loss : 0.0204, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1403, accuracy: 0.5854
epoch  19 summary: train_cos_loss : 0.018364, train_cro_loss : 3.9203, train_tot_loss : 0.0189, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1283, accuracy: 0.5850
epoch  20 summary: train_cos_loss : 0.018686, train_cro_loss : 3.9142, train_tot_loss : 0.0193, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.1047, accuracy: 0.5842
epoch  21 summary: train_cos_loss : 0.017933, train_cro_loss : 3.9051, train_tot_loss : 0.0185, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.0798, accuracy: 0.5852
epoch  22 summary: train_cos_loss : 0.017574, train_cro_loss : 3.9027, train_tot_loss : 0.0182, vocab_cos_loss : 0.0000, vocab_cro_loss : 0.0000, vocab_tot_loss : 0.0000, train loss: 2.0819, accuracy: 0.5791
