数据集总长度：1115394
Before CTE Training: train eu loss: 1.1252415180206299, eval eu loss: 1.461101770401001
Before CTE Training: train eu acc: 0.6404571533203125, eval eu acc: 0.56787109375
epoch   0 summary: train_cos_loss : 0.0524, train_cro_loss : 0.2113, train_tot_loss : 0.0535, valid_cos_loss : 0.0517, valid_cro_loss : 0.0000, valid_tot_loss : 0.0514, 
train loss: 4.1792, accuracy: 0.0610, valid loss: 4.3074, accuracy: 0.0249, 
epoch   1 summary: train_cos_loss : 0.0518, train_cro_loss : 0.1752, train_tot_loss : 0.0527, valid_cos_loss : 0.0517, valid_cro_loss : 0.0000, valid_tot_loss : 0.0513, 
epoch   2 summary: train_cos_loss : 0.0510, train_cro_loss : 0.1651, train_tot_loss : 0.0518, valid_cos_loss : 0.0518, valid_cro_loss : 0.0000, valid_tot_loss : 0.0515, 
epoch   3 summary: train_cos_loss : 0.0499, train_cro_loss : 0.1566, train_tot_loss : 0.0506, valid_cos_loss : 0.0507, valid_cro_loss : 0.0000, valid_tot_loss : 0.0503, 
epoch   4 summary: train_cos_loss : 0.0478, train_cro_loss : 0.1574, train_tot_loss : 0.0486, valid_cos_loss : 0.0462, valid_cro_loss : 0.0000, valid_tot_loss : 0.0459, 
epoch   5 summary: train_cos_loss : 0.0451, train_cro_loss : 0.1753, train_tot_loss : 0.0460, valid_cos_loss : 0.0460, valid_cro_loss : 0.0000, valid_tot_loss : 0.0456, 
epoch   6 summary: train_cos_loss : 0.0424, train_cro_loss : 0.2017, train_tot_loss : 0.0436, valid_cos_loss : 0.0431, valid_cro_loss : 0.0000, valid_tot_loss : 0.0428, 
epoch   7 summary: train_cos_loss : 0.0400, train_cro_loss : 0.2266, train_tot_loss : 0.0413, valid_cos_loss : 0.0392, valid_cro_loss : 0.0000, valid_tot_loss : 0.0389, 
epoch   8 summary: train_cos_loss : 0.0385, train_cro_loss : 0.2363, train_tot_loss : 0.0399, valid_cos_loss : 0.0362, valid_cro_loss : 0.0000, valid_tot_loss : 0.0360, 
epoch   9 summary: train_cos_loss : 0.0376, train_cro_loss : 0.2491, train_tot_loss : 0.0391, valid_cos_loss : 0.0347, valid_cro_loss : 0.0000, valid_tot_loss : 0.0345, 
