数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.461101770401001
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.56787109375
epoch   0 summary: train_cos_loss : 0.025683, train_cro_loss : 4.1264, train_tot_loss : 0.0258, valid_cos_loss : 0.0258, valid_cro_loss : 0.0000, valid_tot_loss : 0.0258, 
train loss: 4.4478, accuracy: 0.0404, valid loss: 4.1764, accuracy: 0.0229, 
epoch   1 summary: train_cos_loss : 0.026480, train_cro_loss : 4.0840, train_tot_loss : 0.0266, valid_cos_loss : 0.0264, valid_cro_loss : 0.0000, valid_tot_loss : 0.0264, 
epoch   2 summary: train_cos_loss : 0.025509, train_cro_loss : 4.0387, train_tot_loss : 0.0256, valid_cos_loss : 0.0243, valid_cro_loss : 0.0000, valid_tot_loss : 0.0243, 
epoch   3 summary: train_cos_loss : 0.025823, train_cro_loss : 3.9974, train_tot_loss : 0.0260, valid_cos_loss : 0.0246, valid_cro_loss : 0.0000, valid_tot_loss : 0.0246, 
epoch   4 summary: train_cos_loss : 0.025102, train_cro_loss : 3.9545, train_tot_loss : 0.0252, valid_cos_loss : 0.0260, valid_cro_loss : 0.0000, valid_tot_loss : 0.0260, 
epoch   5 summary: train_cos_loss : 0.025521, train_cro_loss : 3.9089, train_tot_loss : 0.0257, valid_cos_loss : 0.0252, valid_cro_loss : 0.0000, valid_tot_loss : 0.0252, 
epoch   6 summary: train_cos_loss : 0.025875, train_cro_loss : 3.8640, train_tot_loss : 0.0260, valid_cos_loss : 0.0268, valid_cro_loss : 0.0000, valid_tot_loss : 0.0268, 
epoch   7 summary: train_cos_loss : 0.025168, train_cro_loss : 3.8169, train_tot_loss : 0.0253, valid_cos_loss : 0.0260, valid_cro_loss : 0.0000, valid_tot_loss : 0.0260, 
epoch   8 summary: train_cos_loss : 0.025658, train_cro_loss : 3.7727, train_tot_loss : 0.0258, valid_cos_loss : 0.0258, valid_cro_loss : 0.0000, valid_tot_loss : 0.0258, 
epoch   9 summary: train_cos_loss : 0.024880, train_cro_loss : 3.7233, train_tot_loss : 0.0250, valid_cos_loss : 0.0257, valid_cro_loss : 0.0000, valid_tot_loss : 0.0257, 
epoch  10 summary: train_cos_loss : 0.025533, train_cro_loss : 3.6766, train_tot_loss : 0.0257, valid_cos_loss : 0.0247, valid_cro_loss : 0.0000, valid_tot_loss : 0.0247, 
train loss: 3.9922, accuracy: 0.4121, valid loss: 3.9151, accuracy: 0.2153, 
epoch  11 summary: train_cos_loss : 0.024706, train_cro_loss : 3.6350, train_tot_loss : 0.0248, valid_cos_loss : 0.0235, valid_cro_loss : 0.0000, valid_tot_loss : 0.0235, 
epoch  12 summary: train_cos_loss : 0.024630, train_cro_loss : 3.5879, train_tot_loss : 0.0248, valid_cos_loss : 0.0236, valid_cro_loss : 0.0000, valid_tot_loss : 0.0236, 
epoch  13 summary: train_cos_loss : 0.024515, train_cro_loss : 3.5616, train_tot_loss : 0.0246, valid_cos_loss : 0.0245, valid_cro_loss : 0.0000, valid_tot_loss : 0.0245, 
epoch  14 summary: train_cos_loss : 0.025156, train_cro_loss : 3.5188, train_tot_loss : 0.0253, valid_cos_loss : 0.0243, valid_cro_loss : 0.0000, valid_tot_loss : 0.0243, 
epoch  15 summary: train_cos_loss : 0.025647, train_cro_loss : 3.4771, train_tot_loss : 0.0258, valid_cos_loss : 0.0257, valid_cro_loss : 0.0000, valid_tot_loss : 0.0257, 
epoch  16 summary: train_cos_loss : 0.023625, train_cro_loss : 3.4369, train_tot_loss : 0.0237, valid_cos_loss : 0.0237, valid_cro_loss : 0.0000, valid_tot_loss : 0.0236, 
epoch  17 summary: train_cos_loss : 0.023982, train_cro_loss : 3.3987, train_tot_loss : 0.0241, valid_cos_loss : 0.0245, valid_cro_loss : 0.0000, valid_tot_loss : 0.0245, 
epoch  18 summary: train_cos_loss : 0.023248, train_cro_loss : 3.3658, train_tot_loss : 0.0234, valid_cos_loss : 0.0234, valid_cro_loss : 0.0000, valid_tot_loss : 0.0234, 
epoch  19 summary: train_cos_loss : 0.024612, train_cro_loss : 3.3210, train_tot_loss : 0.0247, valid_cos_loss : 0.0239, valid_cro_loss : 0.0000, valid_tot_loss : 0.0239, 
epoch  20 summary: train_cos_loss : 0.024426, train_cro_loss : 3.2834, train_tot_loss : 0.0245, valid_cos_loss : 0.0225, valid_cro_loss : 0.0000, valid_tot_loss : 0.0225, 
train loss: 3.6007, accuracy: 0.4691, valid loss: 3.5638, accuracy: 0.2925, 
epoch  21 summary: train_cos_loss : 0.023362, train_cro_loss : 3.2481, train_tot_loss : 0.0235, valid_cos_loss : 0.0227, valid_cro_loss : 0.0000, valid_tot_loss : 0.0227, 
epoch  22 summary: train_cos_loss : 0.023054, train_cro_loss : 3.2104, train_tot_loss : 0.0232, valid_cos_loss : 0.0228, valid_cro_loss : 0.0000, valid_tot_loss : 0.0228, 
epoch  23 summary: train_cos_loss : 0.022218, train_cro_loss : 3.1731, train_tot_loss : 0.0223, valid_cos_loss : 0.0215, valid_cro_loss : 0.0000, valid_tot_loss : 0.0215, 
epoch  24 summary: train_cos_loss : 0.021720, train_cro_loss : 3.1417, train_tot_loss : 0.0218, valid_cos_loss : 0.0218, valid_cro_loss : 0.0000, valid_tot_loss : 0.0218, 
epoch  25 summary: train_cos_loss : 0.022239, train_cro_loss : 3.1153, train_tot_loss : 0.0223, valid_cos_loss : 0.0227, valid_cro_loss : 0.0000, valid_tot_loss : 0.0227, 
epoch  26 summary: train_cos_loss : 0.022946, train_cro_loss : 3.0744, train_tot_loss : 0.0231, valid_cos_loss : 0.0214, valid_cro_loss : 0.0000, valid_tot_loss : 0.0214, 
epoch  27 summary: train_cos_loss : 0.022319, train_cro_loss : 3.0533, train_tot_loss : 0.0224, valid_cos_loss : 0.0222, valid_cro_loss : 0.0000, valid_tot_loss : 0.0222, 
epoch  28 summary: train_cos_loss : 0.021462, train_cro_loss : 3.0195, train_tot_loss : 0.0216, valid_cos_loss : 0.0220, valid_cro_loss : 0.0000, valid_tot_loss : 0.0220, 
epoch  29 summary: train_cos_loss : 0.020180, train_cro_loss : 2.9661, train_tot_loss : 0.0203, valid_cos_loss : 0.0216, valid_cro_loss : 0.0000, valid_tot_loss : 0.0216, 
epoch  30 summary: train_cos_loss : 0.020906, train_cro_loss : 2.9148, train_tot_loss : 0.0210, valid_cos_loss : 0.0218, valid_cro_loss : 0.0000, valid_tot_loss : 0.0218, 
train loss: 3.2370, accuracy: 0.4354, valid loss: 3.1994, accuracy: 0.2832, 
epoch  31 summary: train_cos_loss : 0.020791, train_cro_loss : 2.8879, train_tot_loss : 0.0209, valid_cos_loss : 0.0197, valid_cro_loss : 0.0000, valid_tot_loss : 0.0197, 
epoch  32 summary: train_cos_loss : 0.020493, train_cro_loss : 2.8550, train_tot_loss : 0.0206, valid_cos_loss : 0.0203, valid_cro_loss : 0.0000, valid_tot_loss : 0.0203, 
epoch  33 summary: train_cos_loss : 0.020055, train_cro_loss : 2.8253, train_tot_loss : 0.0202, valid_cos_loss : 0.0190, valid_cro_loss : 0.0000, valid_tot_loss : 0.0189, 
epoch  34 summary: train_cos_loss : 0.019732, train_cro_loss : 2.7942, train_tot_loss : 0.0198, valid_cos_loss : 0.0198, valid_cro_loss : 0.0000, valid_tot_loss : 0.0198, 
epoch  35 summary: train_cos_loss : 0.018783, train_cro_loss : 2.7710, train_tot_loss : 0.0189, valid_cos_loss : 0.0200, valid_cro_loss : 0.0000, valid_tot_loss : 0.0200, 
epoch  36 summary: train_cos_loss : 0.018817, train_cro_loss : 2.7469, train_tot_loss : 0.0189, valid_cos_loss : 0.0193, valid_cro_loss : 0.0000, valid_tot_loss : 0.0193, 
epoch  37 summary: train_cos_loss : 0.019926, train_cro_loss : 2.7220, train_tot_loss : 0.0200, valid_cos_loss : 0.0188, valid_cro_loss : 0.0000, valid_tot_loss : 0.0188, 
epoch  38 summary: train_cos_loss : 0.018276, train_cro_loss : 2.6993, train_tot_loss : 0.0184, valid_cos_loss : 0.0190, valid_cro_loss : 0.0000, valid_tot_loss : 0.0190, 
