数据集总长度：1115394
Before CTE Training: train eu loss: 0.2912406623363495, eval eu loss: 1.5121827125549316
Before CTE Training: train eu acc: 1.0, eval eu acc: 0.5556640625
epoch   0 summary: train_cos_loss : 0.015124, train_cro_loss : 4.4493, train_tot_loss : 0.0155, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
train loss: 4.0390, accuracy: 0.1412, valid loss: 4.6332, accuracy: 0.0151, 
epoch   1 summary: train_cos_loss : 0.014798, train_cro_loss : 3.8460, train_tot_loss : 0.0151, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   2 summary: train_cos_loss : 0.013979, train_cro_loss : 3.4536, train_tot_loss : 0.0143, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   3 summary: train_cos_loss : 0.012991, train_cro_loss : 2.8719, train_tot_loss : 0.0132, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   4 summary: train_cos_loss : 0.011602, train_cro_loss : 2.6970, train_tot_loss : 0.0118, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   5 summary: train_cos_loss : 0.010352, train_cro_loss : 2.7903, train_tot_loss : 0.0106, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   6 summary: train_cos_loss : 0.009134, train_cro_loss : 2.4360, train_tot_loss : 0.0093, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   7 summary: train_cos_loss : 0.008233, train_cro_loss : 2.3993, train_tot_loss : 0.0084, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   8 summary: train_cos_loss : 0.007339, train_cro_loss : 2.2901, train_tot_loss : 0.0075, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch   9 summary: train_cos_loss : 0.006633, train_cro_loss : 2.0901, train_tot_loss : 0.0068, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  10 summary: train_cos_loss : 0.006126, train_cro_loss : 2.2089, train_tot_loss : 0.0063, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
train loss: 2.0983, accuracy: 0.5258, valid loss: 4.6416, accuracy: 0.0127, 
epoch  11 summary: train_cos_loss : 0.005782, train_cro_loss : 2.0561, train_tot_loss : 0.0059, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  12 summary: train_cos_loss : 0.005511, train_cro_loss : 2.2365, train_tot_loss : 0.0057, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  13 summary: train_cos_loss : 0.005203, train_cro_loss : 2.1594, train_tot_loss : 0.0054, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  14 summary: train_cos_loss : 0.005080, train_cro_loss : 2.5139, train_tot_loss : 0.0053, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  15 summary: train_cos_loss : 0.004978, train_cro_loss : 2.3292, train_tot_loss : 0.0052, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  16 summary: train_cos_loss : 0.004879, train_cro_loss : 2.3747, train_tot_loss : 0.0051, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  17 summary: train_cos_loss : 0.004733, train_cro_loss : 1.8014, train_tot_loss : 0.0049, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  18 summary: train_cos_loss : 0.004659, train_cro_loss : 2.2760, train_tot_loss : 0.0048, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  19 summary: train_cos_loss : 0.004587, train_cro_loss : 2.6939, train_tot_loss : 0.0048, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
epoch  20 summary: train_cos_loss : 0.004596, train_cro_loss : 2.5064, train_tot_loss : 0.0048, valid_cos_loss : 0.000000, valid_cro_loss : 0.0000, valid_tot_loss : 0.0000, 
